ID,Name,Age,E-Mail,Password,Sports,International Affairs,Cinematography,Literature,Cuisine,Music,Dance,Cinema
1,John,18,John@gmail.com,John@123,1,0,0,1,1,0,0,1
2,Mary,27,Mary@gmail.com,Mary@123,0,0,1,1,1,0,1,1
3,James,16,James@gmail.com,James@123,0,0,1,1,0,1,0,0
4,Annie,24,Annie@gmail.com,Annie@123,1,1,0,0,1,0,1,1
5,Paul,25,Paul@gmail.com,Paul@123,0,0,1,0,1,1,1,1
6,Anna,27,Anna@gmail.com,Anna@123,0,0,1,0,1,1,0,1
7,Robert,25,Robert@gmail.com,Robert@123,1,0,0,0,0,1,1,1
8,Margaret,34,Margaret@gmail.com,Margaret@123,0,0,1,1,1,1,1,0
9,Carl,19,Carl@gmail.com,Carl@123,0,0,0,0,0,0,0,1
10,Helen,32,Helen@gmail.com,Helen@123,1,1,1,1,1,1,0,1
11,Edward,34,Edward@gmail.com,Edward@123,0,0,0,0,1,1,0,1
12,Elsie,25,Elsie@gmail.com,Elsie@123,1,0,1,0,1,0,0,1
13,George,38,George@gmail.com,George@123,0,0,1,0,1,0,0,1
14,Lucy,28,Lucy@gmail.com,Lucy@123,0,0,0,0,1,1,1,1
15,William,40,William@gmail.com,William@123,1,0,1,0,0,0,0,0
16,Dorothy,38,Dorothy@gmail.com,Dorothy@123,0,0,0,1,0,1,1,0
17,Peter,24,Peter@gmail.com,Peter@123,1,0,1,1,1,1,1,0
18,Ruth,24,Ruth@gmail.com,Ruth@123,1,1,1,0,0,1,1,0
19,Charles,38,Charles@gmail.com,Charles@123,0,0,0,0,1,0,1,0
20,Elizabeth,20,Elizabeth@gmail.com,Elizabeth@123,0,0,0,0,1,0,0,0
21,Nick,27,Nick@gmail.com,Nick@123,0,0,0,0,0,0,0,0
22,Agnes,24,Agnes@gmail.com,Agnes@123,0,0,0,1,1,0,1,0
23,Frank,34,Frank@gmail.com,Frank@123,1,1,1,0,0,1,1,0
24,Louise,28,Louise@gmail.com,Louise@123,0,0,1,0,1,0,1,0
25,Richard,33,Richard@gmail.com,Richard@123,1,0,0,0,1,1,1,0
26,Jean,29,Jean@gmail.com,Jean@123,0,0,1,0,1,0,0,0
27,Joseph,33,Joseph@gmail.com,Joseph@123,0,1,1,0,1,0,0,1
28,Alice,35,Alice@gmail.com,Alice@123,1,0,0,1,0,0,1,0
29,Henry,23,Henry@gmail.com,Henry@123,0,1,0,0,1,0,0,0
30,Esther,32,Esther@gmail.com,Esther@123,0,1,1,0,0,1,1,1
31,David,39,David@gmail.com,David@123,1,1,1,1,0,1,0,0
32,Ethel,24,Ethel@gmail.com,Ethel@123,1,0,1,1,0,1,1,0
33,Arthur,28,Arthur@gmail.com,Arthur@123,0,1,0,1,0,0,0,0
34,Marie,28,Marie@gmail.com,Marie@123,0,0,1,0,0,0,0,1
35,Albert,23,Albert@gmail.com,Albert@123,1,0,1,0,0,0,0,0
36,Clara,17,Clara@gmail.com,Clara@123,0,1,0,1,1,1,0,0
37,Jack,36,Jack@gmail.com,Jack@123,1,1,0,0,0,1,1,0
38,Martha,20,Martha@gmail.com,Martha@123,1,1,0,0,0,0,1,0
39,Walter,37,Walter@gmail.com,Walter@123,1,1,1,1,1,1,0,0
40,Frances,37,Frances@gmail.com,Frances@123,1,0,1,0,1,1,1,1
41,Andrew,38,Andrew@gmail.com,Andrew@123,1,1,1,1,0,1,1,1
42,Julia,34,Julia@gmail.com,Julia@123,1,1,1,0,0,1,0,1
43,Daniel,32,Daniel@gmail.com,Daniel@123,1,1,1,1,1,0,0,0
44,Lillian,36,Lillian@gmail.com,Lillian@123,0,0,0,1,1,1,0,1
45,Harry,30,Harry@gmail.com,Harry@123,1,1,0,1,1,0,1,1
46,Mildred,33,Mildred@gmail.com,Mildred@123,0,0,0,1,1,1,0,1
47,Fred,32,Fred@gmail.com,Fred@123,1,1,0,1,0,1,1,1
